iter	RMSE
0	70645.89199
1	69738.97042
2	68919.88455
3	68172.54852
4	67621.62131
5	67073.21834
6	66431.44421
7	65809.53996
8	65244.18404
9	64736.98487
10	64182.58292
11	63596.55294
12	63157.64928
13	62656.89227
14	62249.11798
15	61772.3071
16	61370.61974
17	60848.56668
18	60467.8115
19	60088.18198
20	59698.16482
21	59311.74428
22	58980.95896
23	58565.81148
24	58099.14269
25	57722.49255
26	57556.31836
27	57222.81174
28	56917.11029
29	56560.75055
30	56250.43971
31	55963.199
32	55764.77517
33	55727.2856
34	55502.86632
35	55231.83014
36	54925.47023
37	54692.08856
38	54427.12866
39	54170.76268
40	53995.91165
41	53810.8961
42	53768.94362
43	53573.89987
44	53397.81104
45	53368.29311
46	53165.14406
47	53121.58966
48	52983.54918
49	52879.68617
50	52750.38636
51	52595.26251
52	52462.10645
53	52276.56896
54	52103.92643
55	51928.32983
56	51776.9
57	51645.1827
58	51439.45764
59	51249.26635
60	51141.98732
61	51006.33154
62	50876.22207
63	50822.6092
64	50670.11051
65	50539.81122
66	50401.4584
67	50282.1341
68	50195.15503
69	50049.7091
70	49923.50085
71	49781.38525
72	49659.92535
73	49567.85925
74	49412.09496
75	49236.50214
76	49186.92165
77	49088.57514
78	48991.75607
79	48906.32998
80	48811.21368
81	48765.55198
82	48664.94657
83	48552.28963
84	48430.92039
85	48307.37252
86	48239.88868
87	48219.3782
88	48135.25522
89	48023.49372
90	47958.47175
91	47874.96126
92	47763.66941
93	47618.80579
94	47567.15043
95	47496.08208
96	47469.64921
97	47398.76052
98	47319.50702
99	47245.74949
100	47168.0973
101	47125.10609
102	47012.7492
103	46957.0756
104	46873.66642
105	46809.55828
106	46731.74651
107	46707.62508
108	46605.11632
109	46588.27799
110	46552.84476
111	46512.55596
112	46505.71753
113	46412.31247
114	46304.62751
115	46260.68898
116	46243.51726
117	46138.08458
118	46073.53289
119	46034.25917
120	45978.99966
121	45924.63336
122	45872.00404
123	45780.64616
124	45695.17668
125	45666.97382
126	45593.38962
127	45507.78683
128	45399.85779
129	45395.11532
130	45382.43707
131	45295.01874
132	45232.37319
133	45198.37716
134	45131.52323
135	45085.0455
136	45033.25498
137	44941.158
138	44845.43662
139	44838.34596
140	44830.67411
141	44768.22982
142	44685.82134
143	44616.41651
144	44600.86725
145	44543.9215
146	44483.91167
147	44466.74419
148	44379.79836
149	44349.1248
150	44264.44245
151	44256.41198
152	44222.2265
153	44135.16609
154	44099.37968
155	44020.11091
156	43951.7341
157	43895.44925
158	43820.35493
159	43745.51767
160	43673.37204
161	43644.27653
162	43611.33724
163	43551.67713
164	43519.51822
165	43469.04601
166	43386.74704
167	43362.21931
168	43345.00803
169	43279.20568
170	43215.14902
171	43171.24794
172	43163.40384
173	43104.19988
174	43044.6676
175	42977.19751
176	42964.68328
177	42930.39098
178	42875.21846
179	42802.41258
180	42773.03845
181	42710.77125
182	42634.75918
183	42576.07558
184	42522.33531
185	42508.3647
186	42445.55708
187	42389.63377
188	42348.47103
189	42316.62941
190	42241.17272
191	42203.04936
192	42140.26062
193	42118.58828
194	42087.67813
195	42074.2468
196	42034.03847
197	41984.6849
198	41941.5844
199	41908.27393
200	41882.33065
201	41861.32855
202	41832.01365
203	41756.79798
204	41733.71227
205	41698.36222
206	41688.80016
207	41681.37824
208	41646.57067
209	41591.04055
210	41565.97428
211	41523.9392
212	41498.28208
213	41472.75906
214	41449.21165
215	41442.70437
216	41403.32241
217	41392.89965
218	41354.11904
219	41317.504
220	41282.85268
221	41259.28754
222	41214.67574
223	41208.65358
224	41193.39621
225	41143.13338
226	41101.87548
227	41047.41438
228	41039.88162
229	41014.45914
230	40966.48718
231	40933.80091
232	40929.55568
233	40899.35279
234	40873.8453
235	40854.64604
236	40808.35211
237	40750.7445
238	40719.04552
239	40705.82843
240	40683.78613
241	40659.56494
242	40617.30075
243	40611.86937
244	40560.72095
245	40528.3664
246	40485.6152
247	40454.52792
248	40447.63457
249	40441.19853
250	40421.79693
251	40411.23712
252	40395.23142
253	40375.25268
254	40334.16631
255	40302.064
256	40270.22678
257	40264.45126
258	40258.37028
259	40240.34505
260	40235.50966
261	40200.32974
262	40195.68518
263	40185.79509
264	40156.99936
265	40153.10219
266	40122.42646
267	40085.45216
268	40058.78388
269	40029.81744
270	40003.4367
271	39968.83135
272	39944.14918
273	39918.2733
274	39909.12799
275	39894.97374
276	39859.92452
277	39846.71815
278	39831.19381
279	39825.03805
280	39780.30178
281	39753.53551
282	39728.34308
283	39705.09562
284	39669.8049
285	39639.15669
286	39634.36512
287	39622.12781
288	39604.26089
289	39577.67117
290	39574.47918
291	39558.13799
292	39556.2159
293	39535.98427
294	39525.44097
295	39513.46378
296	39508.66942
297	39477.14007
298	39465.78767
299	39415.4388
