iter	Passed	Remaining
0	0	468
1	0	424
2	1	425
3	1	422
4	2	424
5	2	426
6	2	424
7	3	404
8	3	403
9	4	399
10	4	398
11	4	398
12	5	395
13	5	394
14	5	389
15	6	389
16	6	395
17	7	407
18	7	407
19	8	406
20	8	404
21	9	403
22	9	401
23	9	403
24	10	404
25	10	404
26	11	397
27	11	396
28	11	395
29	12	394
30	12	393
31	12	391
32	13	391
33	13	385
34	13	385
35	14	387
36	15	403
37	16	405
38	16	406
39	16	405
40	17	407
41	17	407
42	18	403
43	18	403
44	19	403
45	19	399
46	19	401
47	20	402
48	20	404
49	21	404
50	21	404
51	22	404
52	22	406
53	23	406
54	23	405
55	24	404
56	24	404
57	24	405
58	25	404
59	25	403
60	26	402
61	26	402
62	26	401
63	27	400
64	27	400
65	28	399
66	28	398
67	28	397
68	29	396
69	29	394
70	30	393
71	30	393
72	30	392
73	31	391
74	31	390
75	32	389
76	32	387
77	32	387
78	33	384
79	33	386
80	34	388
81	34	388
82	35	388
83	35	387
84	36	387
85	36	389
86	37	389
87	37	387
88	37	387
89	38	386
90	38	385
91	39	385
92	39	384
93	39	384
94	40	384
95	40	383
96	41	381
97	41	381
98	41	380
99	42	379
100	42	379
101	42	378
102	43	377
103	43	377
104	44	376
105	44	375
106	44	375
107	45	373
108	45	372
109	45	370
110	46	368
111	46	368
112	46	366
113	47	367
114	47	368
115	48	368
116	48	367
117	49	366
118	49	366
119	49	366
120	50	365
121	50	364
122	51	364
123	51	363
124	51	363
125	52	362
126	52	362
127	53	361
128	53	361
129	53	359
130	54	358
131	54	357
132	54	357
133	55	356
134	55	355
135	55	354
136	56	354
137	56	353
138	57	353
139	57	351
140	57	349
141	57	348
142	58	348
143	58	347
144	58	346
145	59	346
146	59	345
147	59	344
148	60	345
149	60	345
150	61	344
151	61	343
152	61	343
153	62	343
154	63	343
155	63	343
156	63	342
157	64	342
158	64	342
159	65	345
160	66	345
161	66	345
162	67	344
163	67	344
164	68	344
165	68	344
166	68	343
167	69	343
168	69	342
169	70	342
170	70	341
171	70	341
172	71	339
173	71	339
174	71	338
175	72	338
176	72	338
177	73	337
178	73	337
179	74	337
180	74	337
181	75	337
182	75	337
183	75	336
184	76	336
185	77	337
186	77	337
187	78	337
188	78	336
189	78	336
190	79	336
191	79	335
192	80	335
193	80	334
194	81	334
195	81	334
196	81	333
197	82	333
198	82	332
199	83	332
200	83	331
201	83	331
202	84	330
203	84	330
204	85	329
205	85	329
206	85	328
207	86	327
208	86	327
209	86	326
210	87	327
211	88	327
212	88	327
213	88	326
214	89	326
215	89	325
216	90	325
217	90	324
218	90	324
219	91	324
220	91	323
221	92	323
222	92	322
223	93	322
224	93	322
225	93	321
226	94	321
227	94	320
228	95	320
229	95	319
230	95	319
231	96	318
232	96	317
233	96	317
234	97	316
235	97	316
236	98	315
237	98	315
238	98	315
239	99	314
240	99	314
241	100	313
242	100	313
243	101	313
244	101	313
245	102	313
246	102	312
247	103	312
248	103	313
249	104	312
250	104	312
251	105	311
252	105	311
253	105	310
254	106	310
255	106	309
256	107	309
257	107	309
258	107	308
259	108	308
260	108	307
261	109	307
262	109	306
263	109	306
264	110	305
265	110	305
266	111	304
267	111	304
268	111	303
269	112	303
270	112	302
271	113	302
272	113	302
273	113	301
274	114	301
275	114	301
276	115	301
277	115	300
278	116	300
279	116	299
280	117	299
281	117	299
282	118	299
283	118	298
284	118	298
285	119	297
286	119	297
287	120	296
288	120	296
289	120	295
290	121	295
291	121	294
292	121	294
293	122	293
294	122	293
295	123	292
296	123	292
297	123	291
298	124	291
299	124	290
300	125	290
301	125	289
302	125	289
303	126	288
304	126	288
305	126	288
306	127	287
307	128	288
308	128	288
309	129	288
310	129	287
311	130	287
312	130	286
313	131	286
314	131	285
315	131	285
316	132	284
317	132	284
318	133	284
319	133	283
320	133	283
321	134	282
322	134	281
323	134	281
324	135	281
325	135	280
326	136	280
327	136	279
328	136	279
329	137	278
330	137	278
331	138	277
332	138	277
333	138	276
334	139	276
335	139	276
336	140	275
337	140	275
338	141	275
339	141	275
340	142	274
341	142	274
342	143	274
343	143	273
344	143	273
345	144	272
346	144	272
347	145	272
348	145	271
349	146	271
350	147	271
351	147	271
352	148	271
353	148	271
354	149	270
355	149	270
356	149	269
357	150	269
358	150	268
359	151	268
360	151	268
361	151	267
362	152	267
363	152	266
364	153	266
365	153	265
366	153	265
367	154	265
368	155	265
369	155	264
370	155	264
371	156	263
372	156	263
373	157	263
374	157	262
375	157	262
376	158	261
377	158	261
378	159	260
379	159	260
380	159	259
381	160	259
382	160	258
383	161	258
384	161	257
385	161	257
386	162	256
387	162	256
388	163	256
389	163	255
390	163	255
391	164	254
392	164	254
393	165	253
394	165	253
395	165	252
396	166	252
397	166	251
398	166	251
399	167	251
400	167	250
401	168	250
402	168	250
403	169	249
404	169	249
405	170	248
406	170	248
407	170	248
408	171	247
409	171	247
410	172	246
411	172	246
412	173	246
413	173	245
414	174	245
415	174	244
416	174	244
417	175	244
418	175	243
419	176	243
420	176	242
421	177	242
422	177	242
423	177	241
424	178	241
425	178	240
426	179	240
427	179	240
428	180	240
429	180	239
430	181	239
431	181	239
432	182	239
433	183	238
434	183	238
435	184	238
436	184	237
437	185	237
438	185	237
439	186	237
440	186	236
441	187	236
442	187	236
443	188	235
444	188	235
445	189	234
446	189	234
447	189	233
448	190	233
449	190	233
450	190	232
451	191	232
452	191	231
453	192	231
454	192	230
455	193	230
456	193	229
457	193	229
458	194	229
459	194	228
460	195	228
461	195	228
462	196	227
463	196	227
464	197	227
465	197	226
466	198	226
467	198	226
468	199	225
469	199	225
470	200	225
471	200	224
472	201	224
473	201	223
474	202	223
475	202	223
476	202	222
477	203	222
478	203	221
479	204	221
480	204	221
481	205	220
482	205	220
483	206	219
484	206	219
485	207	218
486	207	218
487	207	218
488	208	217
489	208	217
490	209	216
491	209	216
492	210	216
493	210	215
494	211	215
495	211	215
496	212	214
497	212	214
498	213	213
499	213	213
500	213	213
501	214	212
502	214	212
503	215	211
504	215	211
505	216	210
506	216	210
507	216	210
508	217	209
509	217	209
510	218	208
511	218	208
512	218	207
513	219	207
514	219	206
515	220	206
516	220	205
517	220	205
518	221	205
519	221	204
520	222	204
521	222	203
522	223	203
523	223	203
524	224	202
525	224	202
526	225	201
527	225	201
528	225	201
529	226	200
530	226	200
531	227	200
532	227	199
533	228	199
534	228	198
535	229	198
536	229	197
537	230	197
538	230	197
539	230	196
540	231	196
541	231	195
542	232	195
543	232	194
544	233	194
545	233	194
546	233	193
547	234	193
548	234	192
549	235	192
550	235	191
551	235	191
552	236	190
553	236	190
554	237	190
555	238	190
556	239	190
557	239	189
558	240	189
559	240	189
560	241	188
561	241	188
562	241	187
563	242	187
564	242	186
565	243	186
566	243	186
567	243	185
568	244	185
569	244	184
570	245	184
571	245	183
572	245	183
573	246	182
574	246	182
575	247	181
576	247	181
577	247	181
578	248	180
579	248	180
580	249	179
581	249	179
582	250	179
583	250	178
584	251	178
585	251	177
586	252	177
587	252	177
588	253	176
589	253	176
590	254	175
591	254	175
592	254	175
593	255	174
594	255	174
595	256	173
596	256	173
597	257	172
598	257	172
599	258	172
600	258	171
601	258	171
602	259	170
603	259	170
604	260	169
605	260	169
606	260	168
607	261	168
608	261	168
609	262	167
610	262	167
611	262	166
612	263	166
613	263	165
614	264	165
615	264	165
616	265	164
617	265	164
618	266	163
619	266	163
620	267	163
621	267	162
622	268	162
623	268	161
624	268	161
625	269	160
626	269	160
627	270	159
628	270	159
629	270	159
630	271	158
631	271	158
632	272	157
633	272	157
634	272	156
635	273	156
636	273	155
637	273	155
638	274	154
639	274	154
640	275	154
641	275	153
642	275	153
643	276	152
644	276	152
645	277	151
646	277	151
647	278	151
648	278	150
649	279	150
650	279	149
651	279	149
652	280	149
653	280	148
654	281	148
655	281	147
656	282	147
657	282	146
658	282	146
659	283	145
660	283	145
661	284	145
662	284	144
663	284	144
664	285	143
665	285	143
666	286	142
667	286	142
668	286	141
669	287	141
670	287	141
671	288	140
672	288	140
673	288	139
674	289	139
675	289	138
676	290	138
677	290	137
678	290	137
679	291	137
680	292	136
681	292	136
682	292	135
683	293	135
684	293	135
685	294	134
686	294	134
687	294	133
688	295	133
689	296	132
690	296	132
691	296	132
692	297	131
693	297	131
694	298	130
695	298	130
696	298	129
697	299	129
698	299	129
699	300	128
700	300	128
701	301	127
702	302	127
703	302	127
704	303	127
705	304	126
706	304	126
707	305	125
708	305	125
709	306	125
710	306	124
711	307	124
712	307	123
713	308	123
714	308	123
715	309	122
716	309	122
717	310	121
718	310	121
719	311	121
720	311	120
721	312	120
722	312	119
723	313	119
724	313	118
725	313	118
726	314	118
727	314	117
728	315	117
729	315	116
730	316	116
731	316	115
732	316	115
733	317	115
734	317	114
735	318	114
736	318	113
737	319	113
738	319	112
739	320	112
740	320	112
741	321	111
742	321	111
743	322	110
744	322	110
745	323	110
746	323	109
747	324	109
748	324	108
749	325	108
750	325	107
751	326	107
752	326	107
753	327	106
754	327	106
755	327	105
756	328	105
757	328	104
758	329	104
759	329	104
760	329	103
761	330	103
762	330	102
763	331	102
764	331	101
765	332	101
766	332	101
767	333	100
768	333	100
769	334	99
770	335	99
771	335	99
772	335	98
773	336	98
774	336	97
775	337	97
776	337	96
777	338	96
778	338	96
779	339	95
780	339	95
781	339	94
782	340	94
