id,salary_in_usd
0,230714.8568331115
1,221468.2801488228
2,149179.71514419653
3,184151.53646251746
4,269673.4671652466
5,153304.25051398948
6,202792.64004510082
7,119733.42921569757
8,177293.67188296653
9,181106.070543712
10,21950.19277979806
11,200734.9515341781
12,163236.69351357967
13,136925.0698611848
14,209838.4449241981
15,147847.38595446572
16,137508.66700408421
17,160977.92408143356
18,113216.6965470817
19,131261.02881650254
20,115547.09656773508
21,126409.59683844075
22,256189.8938708771
23,279249.82285496034
24,187902.07003852166
25,180722.34021310136
26,157268.07550163753
27,289992.8934655804
28,170531.27877803706
29,197175.62998965383
30,194717.20684718713
31,154956.06528610177
32,127670.11281714588
33,212644.39888175577
34,172405.82079992816
35,138978.17766357213
36,250334.39685310982
37,133504.5283925794
38,176619.45117186196
39,286879.41398696415
40,64702.233620552346
41,87499.54829512537
42,153749.06758097187
43,207361.99248187616
44,161383.45252348483
45,266399.8421907071
46,163690.66892850772
47,111559.74266769737
48,154956.06528610177
49,171047.54855078273
50,174584.94627656788
51,225796.76595979743
52,189946.59086667
53,172375.3983871285
54,146573.45186389424
55,142978.2391336728
56,204301.75378664583
57,140449.042987613
58,160928.61478387006
59,182615.184285257
60,160928.61478387006
61,205508.75149177574
62,182615.184285257
63,178499.80726340972
64,243559.5157675743
65,175386.3277847953
66,175386.3277847953
67,182615.184285257
68,156813.23776202276
69,208037.94763783738
70,88742.59986019321
71,190244.77541726083
72,138943.8607318923
73,149200.4313414879
74,196275.22767431661
75,168260.0213652812
76,142879.98578358628
77,147093.61615552008
78,111636.16706671193
79,264693.57901376113
80,112147.73789661378
81,184837.03753278218
82,186383.15521380305
83,311077.64741420373
84,150688.82888574153
85,164664.8086350616
86,164664.8086350616
87,204301.75378664583
88,182615.184285257
89,56210.71052405983
90,216584.6380417943
91,197477.92864858732
92,283689.0499966275
93,174891.54166636243
94,182615.184285257
95,282415.9782307409
96,69000.87536573783
97,151925.66416916996
98,104437.1481445469
99,106211.24225878343
100,182615.184285257
101,160928.61478387006
102,160928.61478387006
103,175386.3277847953
104,204301.75378664583
105,83957.57634828985
106,156813.23776202276
