id,salary_in_usd
0,97563.99756883396
1,133475.30517629342
2,102669.13562091503
3,52042.74009117948
4,26041.0028933217
5,75597.95715004283
6,74486.54725542587
7,42326.245840639865
8,45383.85595876553
9,154684.8269400716
10,46196.46150549061
11,157950.6279721301
12,51859.036059106395
13,32474.43119535304
14,73810.78218894338
15,48308.56992708906
16,72901.09683756004
17,140602.5853634995
18,48755.408165158
19,51845.170043885715
20,57403.43307706299
21,62153.42496346754
22,60357.49381193703
23,157013.005641031
24,20388.02498564042
25,38209.13323405771
26,97637.21129862365
27,182378.6325491722
28,50219.31125303104
29,96133.03526778879
30,93194.28327192435
31,137739.54459641522
32,94485.60234993107
33,48530.63776957871
34,45619.706623926184
35,64800.37200775177
36,157013.005641031
37,39802.24563921632
38,62658.80426631636
39,160707.1842328504
40,30718.427518000695
41,21854.271452472505
42,109301.39415220496
43,160522.06463059867
44,97961.38987005223
45,239698.36576904805
46,134123.51285587938
47,61593.58002822111
48,137739.54459641522
49,41611.78483404318
50,140586.3453397808
51,50120.78967790859
52,137896.0488624792
53,138933.86676110156
54,105764.99719413917
55,78409.61028526453
56,157457.91921145126
57,152211.39079818912
58,108478.2444078073
59,152190.68302631506
60,108478.2444078073
61,229337.2935858137
62,152190.68302631506
63,154048.4664684779
64,166422.88961331185
65,199813.7351965266
66,199813.7351965266
67,152190.68302631506
68,102730.93668980825
69,78436.49579842178
70,137557.75610606893
71,157447.05439461183
72,99048.09780952381
73,65610.88593842361
74,80456.37705709682
75,135099.3186604745
76,64755.754290084544
77,73796.70908415974
78,137606.65900746247
79,141490.4062053813
80,43956.79921785114
81,44911.70648342738
82,342331.51493209513
83,346246.6513199242
84,120395.46205966423
85,62159.625154968926
86,62159.625154968926
87,157457.91921145126
88,152190.68302631506
89,57650.62015571829
90,59215.99688491178
91,60032.864500343014
92,74458.72175703941
93,56494.734015658956
94,152190.68302631506
95,338503.4707854009
96,48297.140412118104
97,68864.75599052921
98,63114.68786082965
99,157617.7043707557
100,152190.68302631506
101,108478.2444078073
102,108478.2444078073
103,199813.7351965266
104,157457.91921145126
105,62603.88778464619
106,102730.93668980825
