id,salary_in_usd
0,142330.12
1,42969.227
2,42969.227
3,92998.51
4,32371.682
5,141657.89
6,120763.35
7,103192.6
8,-4255.742
9,120763.35
10,13468.67
11,127378.625
12,-8944.009
13,29259.666
14,112643.734
15,40392.95
16,95704.12
17,35485.074
18,-4664.4976
19,-17086.406
20,71621.89
21,118687.336
22,61052.21
23,103378.12
24,-6899.2817
25,367.01715
26,10083.099
27,151762.55
28,-7666.8203
29,46791.66
30,13733.021
31,43297.297
32,42556.39
33,26142.486
34,14044.001
35,84496.24
36,103378.12
37,51290.746
38,23287.76
39,121580.15
40,17094.066
41,13551.073
42,35485.074
43,121580.15
44,11723.951
45,47803.023
46,19642.531
47,23287.76
48,43297.297
49,-4664.4976
50,52246.234
51,88082.555
52,24866.62
53,28119.63
54,24866.62
55,70398.03
56,98039.48
57,51845.14
58,98039.48
59,98039.48
60,98039.48
61,51845.14
62,98039.48
63,108554.016
64,108554.016
65,98039.48
66,98039.48
67,98039.48
68,108554.016
69,70398.03
70,14257.272
71,140857.67
72,23599.258
73,57246.363
74,118530.49
75,24866.62
76,58099.06
77,57211.16
78,13471.382
79,63057.83
80,16093.231
81,24483.363
82,26433.336
83,140633.95
84,28119.63
85,70398.03
86,70398.03
87,98039.48
88,98039.48
89,168416.28
90,10376.884
91,27115.42
92,152866.9
93,-13830.522
94,98039.48
95,15278.991
96,-33322.39
97,56691.34
98,71989.07
99,52060.633
100,98039.48
101,98039.48
102,98039.48
103,98039.48
104,98039.48
105,41055.89
106,108554.016
