id,salary_in_usd
0,111448.305
1,140625.23
2,102365.125
3,103439.766
4,21303.5
5,69467.11
6,61934.473
7,27245.43
8,45074.793
9,157903.92
10,44264.793
11,159912.11
12,47559.03
13,44583.883
14,61248.242
15,49687.63
16,92864.87
17,151774.19
18,40132.73
19,-22817.143
20,31800.586
21,47772.2
22,66944.68
23,161862.23
24,10655.437
25,22880.012
26,84057.24
27,228947.0
28,45491.81
29,110847.5
30,117776.734
31,128832.09
32,109870.07
33,57565.06
34,49835.062
35,59426.883
36,161862.23
37,26290.666
38,64556.504
39,177646.12
40,7070.7456
41,2713.1826
42,108853.73
43,158702.05
44,86023.43
45,244899.94
46,129372.03
47,59753.582
48,128832.09
49,26505.91
50,129353.71
51,58865.17
52,133136.55
53,135796.08
54,97221.01
55,80458.516
56,159668.62
57,142667.16
58,108282.9
59,145071.38
60,108282.9
61,250674.39
62,145071.38
63,145222.92
64,177601.11
65,235502.44
66,235502.44
67,145071.38
68,103946.836
69,90296.26
70,241922.8
71,164030.23
72,58619.617
73,67352.23
74,102998.79
75,135947.62
76,67352.23
77,80306.98
78,132954.48
79,153851.81
80,39317.05
81,45874.777
82,445292.88
83,374624.56
84,113994.125
85,59973.44
86,59973.44
87,159668.62
88,145071.38
89,52074.066
90,56226.42
91,51067.375
92,76658.23
93,55124.062
94,145071.38
95,401058.56
96,-9462.761
97,80520.56
98,67659.6
99,163335.02
100,145071.38
101,108282.9
102,108282.9
103,235502.44
104,159668.62
105,65312.965
106,103946.836
