iter	RMSE
0	68831.46253
1	68235.79836
2	67670.15211
3	67138.74347
4	66617.53571
5	66163.36177
6	65682.37463
7	65269.37538
8	64761.82732
9	64339.61203
10	63919.78979
11	63526.57521
12	63092.97506
13	62781.40026
14	62391.82055
15	62058.77267
16	61695.98801
17	61371.49045
18	61199.17595
19	60915.43498
20	60567.13803
21	60356.50665
22	60135.02484
23	59856.84749
24	59678.3813
25	59462.09499
26	59352.99227
27	59176.63577
28	58973.70274
29	58770.31201
30	58536.76748
31	58321.25821
32	58188.37361
33	58053.82357
34	57935.90226
35	57776.51423
36	57697.31038
37	57604.48056
38	57466.03971
39	57317.83767
40	57190.18609
41	57030.55422
42	56902.9173
43	56696.37986
44	56549.19702
45	56479.17559
46	56369.60865
47	56314.95156
48	56244.24553
49	56117.54703
50	55979.37941
51	55942.62809
52	55861.53876
53	55779.33702
54	55751.04326
55	55679.80958
56	55575.16491
57	55525.64914
58	55404.78246
59	55299.70436
60	55261.20094
61	55138.73678
62	55106.07047
63	54993.05665
64	54901.19167
65	54831.19272
66	54707.15196
67	54671.50055
68	54590.849
69	54503.37075
70	54472.82839
71	54436.04251
72	54319.45169
73	54238.27655
74	54202.32855
75	54081.10176
76	53995.88119
77	53956.82755
78	53872.34094
79	53826.0597
80	53766.42622
81	53719.94318
82	53689.387
83	53678.4352
84	53659.51382
85	53570.06535
86	53547.08962
87	53489.65536
88	53412.77922
89	53274.39389
90	53152.69377
91	53086.32786
92	53039.62065
93	52991.47877
94	52894.26585
95	52798.79033
96	52738.73107
97	52670.55294
98	52626.19891
99	52583.9887
100	52485.84548
101	52424.22358
102	52362.0233
103	52289.23994
104	52251.13938
105	52186.5906
106	52117.99726
107	52096.40293
108	52021.66843
109	51967.43675
110	51880.42134
111	51819.99498
112	51790.07573
113	51773.17797
114	51737.04686
115	51681.49299
116	51594.99928
117	51589.76751
118	51567.36187
119	51505.67145
120	51446.61761
121	51367.19815
122	51338.04856
123	51246.96528
124	51182.87344
125	51122.09632
126	51040.8152
127	51006.8264
128	50952.71662
129	50901.68597
130	50865.48614
131	50811.07663
132	50735.1389
133	50715.59146
134	50669.68927
135	50651.85516
136	50571.83333
137	50542.99727
138	50525.78431
139	50486.33627
140	50464.54697
141	50425.45462
142	50364.19231
143	50335.26782
144	50285.15473
145	50210.43074
146	50165.61743
147	50141.39712
148	50068.40412
149	50016.90649
150	49959.54256
151	49945.20765
152	49895.82181
153	49825.55855
154	49777.92108
155	49728.23271
156	49674.91981
157	49631.75596
158	49577.78839
159	49563.30292
160	49503.14462
161	49431.79551
162	49400.33614
163	49363.15234
164	49312.35209
165	49281.92084
166	49194.96227
167	49148.39755
168	49132.36977
169	49077.12407
170	49009.55635
171	48968.64167
172	48929.6877
173	48877.28078
174	48830.2757
175	48767.78229
176	48718.0051
177	48670.25171
178	48635.48344
179	48608.81703
180	48572.19084
181	48538.49876
182	48504.83078
183	48460.89017
184	48444.8498
185	48413.33663
186	48380.3212
187	48328.14438
188	48282.9666
189	48270.77332
190	48218.18148
191	48171.44929
192	48113.10694
193	48047.02864
194	48038.49294
195	47999.02871
196	47948.8496
197	47893.35616
198	47850.04891
199	47786.59138
200	47725.77744
201	47690.4107
202	47648.95729
203	47606.67993
204	47571.56584
205	47529.07096
206	47489.81327
207	47453.51811
208	47419.75471
209	47390.01011
210	47351.13473
211	47302.41844
212	47266.29488
213	47240.08375
214	47197.67747
215	47152.98495
216	47108.89609
217	47090.74833
218	47043.97319
219	47009.45278
220	46980.00342
221	46958.72054
222	46914.83563
223	46875.25976
224	46848.49227
225	46815.06631
226	46785.25496
227	46757.13756
228	46722.95276
229	46686.45306
230	46641.58148
231	46613.16643
232	46562.95261
233	46537.81103
234	46503.04999
235	46476.28592
236	46447.58919
237	46422.25019
238	46379.46631
239	46340.02689
240	46308.62795
241	46273.69525
242	46239.71748
243	46209.33432
244	46147.18902
245	46101.65918
246	46071.04198
247	46030.66765
248	45994.1966
249	45966.53193
250	45931.07533
251	45891.04451
252	45861.1707
253	45827.25258
254	45794.26302
255	45754.11746
256	45728.92056
257	45700.06031
258	45668.07166
259	45638.85982
260	45614.98606
261	45585.95789
262	45555.38894
263	45529.28779
264	45503.72481
265	45461.10477
266	45438.23208
267	45411.70437
268	45390.69502
269	45367.53029
270	45349.20636
271	45323.74467
272	45287.53928
