iter	Passed	Remaining
0	0	415
1	0	421
2	1	429
3	1	395
4	2	404
5	2	415
6	2	424
7	3	421
8	3	424
9	4	420
10	4	407
11	4	409
12	5	412
13	5	401
14	6	408
15	6	401
16	6	401
17	7	401
18	7	396
19	8	398
20	8	399
21	8	390
22	9	386
23	9	387
24	9	383
25	10	381
26	10	374
27	10	375
28	11	376
29	11	377
30	12	378
31	12	379
32	12	380
33	13	385
34	14	391
35	14	391
36	15	392
37	15	389
38	15	389
39	16	386
40	16	387
41	17	388
42	17	388
43	17	388
44	18	391
45	18	390
46	19	391
47	19	388
48	19	387
49	20	387
50	20	387
51	21	384
52	21	382
53	21	382
54	22	379
55	22	378
56	22	378
57	23	377
58	23	376
59	24	377
60	24	374
61	24	374
62	24	371
63	25	371
64	26	375
65	26	378
66	27	379
67	27	378
68	27	377
69	28	377
70	28	374
71	28	372
72	29	372
73	29	373
74	30	374
75	30	375
76	31	376
77	31	377
78	32	378
79	32	377
80	33	378
81	33	378
82	34	378
83	34	376
84	34	375
85	35	376
86	35	375
87	36	375
88	36	375
89	37	376
90	37	376
91	38	377
92	38	377
93	39	380
94	40	382
95	40	383
96	41	383
97	41	383
98	42	384
99	42	384
100	43	384
101	43	386
102	44	388
103	45	389
104	45	390
105	46	391
106	46	391
107	47	391
108	47	391
109	48	390
110	48	390
111	49	390
112	49	389
113	50	389
114	50	389
115	51	388
116	51	388
117	51	386
118	52	386
119	52	387
120	53	388
121	53	388
122	54	388
123	54	388
124	55	388
125	56	388
126	56	388
127	56	387
128	57	387
129	57	387
130	58	386
131	58	386
132	59	386
133	59	385
134	60	385
135	60	384
136	61	384
137	61	383
138	61	383
139	62	383
140	62	382
141	63	382
142	63	382
143	64	381
144	64	381
145	65	381
146	65	380
147	66	380
148	66	381
149	67	382
150	68	382
151	68	381
152	68	381
153	69	380
154	69	380
155	70	380
156	70	379
157	71	379
158	71	378
159	72	378
160	72	377
161	73	377
162	73	377
163	73	376
164	74	376
165	74	376
166	75	375
167	75	375
168	76	375
169	76	374
170	77	374
171	77	373
172	78	373
173	78	372
174	79	372
175	79	372
176	80	372
177	80	372
178	81	372
179	81	371
180	82	372
181	82	372
182	83	371
183	83	371
184	84	370
185	84	370
186	85	369
187	85	369
188	86	369
189	86	368
190	86	368
191	87	367
192	87	367
193	88	366
194	88	365
195	89	365
196	89	364
197	89	364
198	90	363
199	90	363
200	91	362
201	91	362
202	92	362
203	92	361
204	93	361
205	94	362
206	94	362
207	95	361
208	95	361
209	95	360
210	96	360
211	96	359
212	97	359
213	97	359
214	98	358
215	98	358
216	99	357
217	99	357
218	100	357
219	100	356
220	101	356
221	101	355
222	102	355
223	102	355
224	103	354
225	103	354
226	103	353
227	104	353
228	104	353
229	105	352
230	105	352
231	106	351
232	106	351
233	107	352
234	108	352
235	108	352
236	109	351
237	109	351
238	110	350
239	110	350
240	111	349
241	111	349
242	111	348
243	112	348
244	112	347
245	113	347
246	113	346
247	114	346
248	114	345
249	115	345
250	115	344
251	116	344
252	116	343
253	116	343
254	117	342
255	117	342
256	118	342
257	118	341
258	119	341
259	119	340
260	120	340
261	120	340
262	121	340
263	122	340
264	122	339
265	123	339
266	123	338
267	123	338
268	124	338
269	124	337
270	125	337
271	125	336
272	126	336
273	126	335
274	127	335
275	127	334
276	128	334
277	128	333
278	129	333
279	129	332
280	129	332
281	130	331
282	130	331
283	131	331
284	131	330
285	132	330
286	132	329
287	133	329
288	133	328
289	134	328
290	134	328
291	135	328
292	136	328
293	136	327
294	137	327
295	137	327
296	137	326
297	138	326
298	138	325
299	139	324
300	139	324
301	140	324
302	140	323
303	141	323
304	141	322
305	142	322
306	142	321
307	142	321
308	143	320
309	143	320
310	144	319
311	144	319
312	145	319
313	145	318
314	146	318
315	146	317
316	147	317
317	147	316
318	148	316
319	148	316
320	149	316
321	150	316
322	150	316
323	151	315
324	151	315
325	152	314
326	152	314
327	153	313
328	153	313
329	153	312
330	154	312
331	154	311
332	155	311
333	155	310
334	156	310
335	156	309
336	157	309
337	157	309
338	158	308
339	158	308
340	159	307
341	159	307
342	160	306
343	160	306
344	161	305
345	161	305
346	162	305
347	162	305
348	163	304
349	163	304
350	164	303
351	164	302
352	165	302
353	165	301
354	165	301
355	166	300
356	166	300
357	167	299
358	167	299
359	168	298
360	168	298
361	168	297
362	169	297
363	170	297
364	170	296
365	171	296
366	171	296
367	172	295
368	172	295
369	172	294
370	173	293
371	173	293
372	174	292
373	174	292
374	175	292
375	176	292
376	176	291
377	176	291
378	177	290
379	177	290
380	178	289
381	178	289
382	179	288
383	179	288
384	180	287
385	180	287
386	180	286
387	181	286
388	181	285
389	182	285
390	182	284
391	183	284
392	183	283
393	184	283
394	184	282
395	185	282
396	185	281
397	186	281
398	186	280
399	186	280
400	187	279
401	187	279
402	188	279
403	189	278
404	189	278
405	189	277
406	190	277
407	190	276
408	191	276
409	191	275
410	192	275
411	192	274
412	193	274
413	193	273
414	193	273
415	194	272
416	194	272
417	195	271
418	195	271
419	196	270
420	196	270
421	197	269
422	197	269
423	197	268
424	198	268
425	198	267
426	199	267
427	199	266
428	200	266
429	200	265
430	201	265
431	201	265
432	202	265
433	202	264
434	203	264
435	203	263
436	204	263
437	204	262
438	205	262
439	205	261
440	206	261
441	206	260
442	207	260
443	207	260
444	208	259
445	208	259
446	208	258
447	209	258
448	209	257
449	210	257
450	210	256
451	211	256
452	211	255
453	212	254
454	212	254
455	212	253
456	213	253
457	213	253
458	214	252
459	214	252
460	215	251
461	215	251
462	216	251
463	216	250
464	217	250
465	217	249
466	218	249
467	218	248
468	219	248
469	219	247
470	220	247
471	220	246
472	220	246
473	221	245
474	221	245
475	222	244
476	222	244
477	223	243
478	223	243
479	223	242
480	224	242
481	224	241
482	225	241
483	225	240
484	226	240
485	226	239
486	227	239
487	227	238
488	227	238
489	228	237
490	229	237
491	229	237
492	230	236
493	230	236
494	231	235
495	231	235
496	231	234
497	232	234
498	232	233
499	233	233
500	233	232
501	234	232
502	234	231
503	235	231
504	235	230
505	236	230
506	236	229
507	236	229
508	237	228
509	237	228
510	238	228
511	238	227
512	239	227
513	239	226
514	240	226
